"subject","equivalent","spdxurl","OPLabel","SPDXLabel","OPid","SPDXid","BestMatch","LabelID","MinDistance"
"http://publications.europa.eu/resource/authority/licence/CC_BYNCSA_4_0","http://creativecommons.org/licenses/by-nc-sa/4.0/","https://spdx.org/licenses/CC-BY-NC-SA-4.0","Creative Commons Attribution–NonCommercial–ShareAlike 4.0 International","Creative Commons Attribution Non Commercial Share Alike 4.0 International","CC-BYNCSA-4-0","CC-BY-NC-SA-4-0","Creative Commons Attribution Non Commercial Share Alike 4.0 International","Label","0.14576958298060372e0"
"http://publications.europa.eu/resource/authority/licence/DLDE_ZERO_2_0","https://www.govdata.de/dl-de/by-2-0","https://spdx.org/licenses/DL-DE-ZERO-2.0","Data licence Germany – Zero – Version 2.0","Data licence Germany – zero – version 2.0","DLDE-ZERO-2-0","DL-DE-ZERO-2-0","Data licence Germany – zero – version 2.0","Label","0.14634146341463417e0"
"http://publications.europa.eu/resource/authority/licence/CC_BYNCND",,"https://spdx.org/licenses/CC-BY-NC-ND-4.0","Creative Commons Attribution–NonCommercial–NoDerivatives 4.0 International","Creative Commons Attribution Non Commercial No Derivatives 4.0 International","CC-BYNCND","CC-BY-NC-ND-4-0","Creative Commons Attribution Non Commercial No Derivatives 4.0 International","Label","0.1469429679609522e0"
"http://publications.europa.eu/resource/authority/licence/CC_BYNCND_4_0","http://creativecommons.org/licenses/by-nc-nd/4.0/","https://spdx.org/licenses/CC-BY-NC-ND-4.0","Creative Commons Attribution–NonCommercial–NoDerivatives 4.0 International","Creative Commons Attribution Non Commercial No Derivatives 4.0 International","CC-BYNCND-4-0","CC-BY-NC-ND-4-0","Creative Commons Attribution Non Commercial No Derivatives 4.0 International","Label","0.1469429679609522e0"
"http://publications.europa.eu/resource/authority/licence/EU_DATAGRID","https://opensource.org/licenses/EUDatagrid","https://spdx.org/licenses/EUDatagrid","EU DataGrid Software License (EUDatagrid)","EU DataGrid Software License","EU-DATAGRID","EUDATAGRID","EU DataGrid Software License","Label","0.15217724800320498e0"
"http://publications.europa.eu/resource/authority/licence/CC_BYNCSA_3_0","http://creativecommons.org/licenses/by-nc-sa/3.0/","https://spdx.org/licenses/CC-BY-NC-SA-3.0","Creative Commons Attribution–NonCommercial–ShareAlike 3.0 Unported","Creative Commons Attribution Non Commercial Share Alike 3.0 Unported","CC-BYNCSA-3-0","CC-BY-NC-SA-3-0","Creative Commons Attribution Non Commercial Share Alike 3.0 Unported","Label","0.16827128520896362e0"
"http://publications.europa.eu/resource/authority/licence/CC_BYNCSA_1_0","http://creativecommons.org/licenses/by-nc-sa/1.0/","https://spdx.org/licenses/CC-BY-NC-SA-1.0","Creative Commons Attribution–NonCommercial–ShareAlike 1.0 Generic","Creative Commons Attribution Non Commercial Share Alike 1.0 Generic","CC-BYNCSA-1-0","CC-BY-NC-SA-1-0","Creative Commons Attribution Non Commercial Share Alike 1.0 Generic","Label","0.17066658865300344e0"
"http://publications.europa.eu/resource/authority/licence/CC_BYNCSA_2_0","http://creativecommons.org/licenses/by-nc-sa/2.0/","https://spdx.org/licenses/CC-BY-NC-SA-2.0","Creative Commons Attribution–NonCommercial–ShareAlike 2.0 Generic","Creative Commons Attribution Non Commercial Share Alike 2.0 Generic","CC-BYNCSA-2-0","CC-BY-NC-SA-2-0","Creative Commons Attribution Non Commercial Share Alike 2.0 Generic","Label","0.17066658865300344e0"
"http://publications.europa.eu/resource/authority/licence/CC_BYNCSA_2_5","http://creativecommons.org/licenses/by-nc-sa/2.5/","https://spdx.org/licenses/CC-BY-NC-SA-2.5","Creative Commons Attribution–NonCommercial–ShareAlike 2.5 Generic","Creative Commons Attribution Non Commercial Share Alike 2.5 Generic","CC-BYNCSA-2-5","CC-BY-NC-SA-2-5","Creative Commons Attribution Non Commercial Share Alike 2.5 Generic","Label","0.17066658865300344e0"
"http://publications.europa.eu/resource/authority/licence/CC_BYNCND_1_0","http://creativecommons.org/licenses/by-nd-nc/1.0/","https://spdx.org/licenses/CC-BY-NC-1.0","Creative Commons Attribution–NoDerivs–NonCommercial 1.0 Generic","Creative Commons Attribution Non Commercial 1.0 Generic","CC-BYNCND-1-0","CC-BY-NC-1-0","Creative Commons Attribution Non Commercial 1.0 Generic","Label","0.18306706209042e0"
"http://publications.europa.eu/resource/authority/licence/CC0","http://creativecommons.org/publicdomain/zero/1.0/","https://spdx.org/licenses/CC0-1.0","Creative Commons CC0 1.0 Universal","Creative Commons Zero v1.0 Universal","CC0","CC0-1-0","Creative Commons Zero v1.0 Universal","Label","0.19967326933495888e0"
"http://publications.europa.eu/resource/authority/licence/CC_BYNCND_2_0","http://creativecommons.org/licenses/by-nc-nd/2.0/","https://spdx.org/licenses/CC-BY-NC-2.0","Creative Commons Attribution–NonCommercial–NoDerivs 2.0 Generic","Creative Commons Attribution Non Commercial 2.0 Generic","CC-BYNCND-2-0","CC-BY-NC-2-0","Creative Commons Attribution Non Commercial 2.0 Generic","Label","0.21389472012474375e0"
"http://publications.europa.eu/resource/authority/licence/CC_BYNCND_2_5","http://creativecommons.org/licenses/by-nc-nd/2.5/","https://spdx.org/licenses/CC-BY-NC-2.5","Creative Commons Attribution–NonCommercial–NoDerivs 2.5 Generic","Creative Commons Attribution Non Commercial 2.5 Generic","CC-BYNCND-2-5","CC-BY-NC-2-5","Creative Commons Attribution Non Commercial 2.5 Generic","Label","0.21389472012474375e0"
"http://publications.europa.eu/resource/authority/licence/POSTGRE_SQL","https://opensource.org/licenses/PostgreSQL","https://spdx.org/licenses/PostgreSQL","The PostgreSQL Licence (PostgreSQL)","PostgreSQL License","POSTGRE-SQL","POSTGRESQL","PostgreSQL License","Label","0.2142857142857143e0"
"http://publications.europa.eu/resource/authority/licence/CC_BYNCND_3_0","http://creativecommons.org/licenses/by-nc-nd/3.0/","https://spdx.org/licenses/CC-BY-NC-3.0","Creative Commons Attribution–NonCommercial–NoDerivs 3.0 Unported","Creative Commons Attribution Non Commercial 3.0 Unported","CC-BYNCND-3-0","CC-BY-NC-3-0","Creative Commons Attribution Non Commercial 3.0 Unported","Label","0.21454759286703573e0"
